,gene_name
0,CTNNB1
1,NOTCH1
2,TNF
3,SHH
4,WNT5A
5,SRC
6,TP53
7,ABL1
8,BCL2
9,BMP4
10,AKT1
11,LRRK2
12,APOE
13,SOX9
14,SIRT1
15,EDN1
16,CAV1
17,PARK7
18,PRKN
19,EGFR
20,DRD2
21,JAK2
22,SNCA
23,APP
24,TREM2
25,FGF10
26,PSEN1
27,TGFB1
28,ITGB3
29,HES1
30,SMAD3
31,ITGB1
32,NF1
33,HIF1A
34,VEGFA
35,LYN
36,GATA3
37,BAX
38,LEP
39,PTK2B
40,FGFR2
41,MECP2
42,BMP2
43,TGFB2
44,NRP1
45,TLR4
46,MTOR
47,EXT1
48,NOD2
49,CD36
50,PAX6
51,MEF2C
52,GSK3B
53,RELA
54,EP300
55,PPARG
56,SMAD4
57,SYK
58,DLG1
59,SLC1A1
60,GLI3
61,HSP90AA1
62,PKD2
63,COL6A1
64,SMO
65,HDAC6
66,ATP7A
67,RHOA
68,FGF2
69,P2RX7
70,DHX9
71,IL6
72,HMGB1
73,SFRP1
74,PARP1
75,IL1B
76,CDK5
77,MAPK1
78,FLNA
79,CDC42
80,MAPT
81,GJA1
82,GPER1
83,FMR1
84,THBS1
85,KIT
86,FYN
87,CALR
88,ADIPOQ
89,DDX3X
90,BMPR1A
91,ACTB
92,DAB2IP
93,PRKAA1
94,SRF
95,BMP7
96,SOD1
97,PAFAH1B1
98,STAT3
99,PYCARD
100,MDM2
101,CAV3
102,RARA
103,WNT3A
104,DAG1
105,ROCK1
106,SIRT2
107,PINK1
108,MAPK14
109,GRIA1
110,FGF8
111,TGFBR1
112,NHERF1
113,TH
114,MAPK3
115,PTEN
116,TGFBR2
117,EDNRA
118,ACE
119,PTGS2
120,MED1
121,NOG
122,VCP
123,IGF1R
124,ZC3H12A
125,APOA1
126,EZR
127,KDR
128,MYD88
129,PTPRC
130,EPHB2
131,RIPK2
132,HNRNPU
133,ATM
134,NLGN1
135,HSF1
136,HSPA1A
137,INS
138,LEF1
139,AQP1
140,FGFR1
141,CDK1
142,WNT4
143,AR
144,IL10
145,DLL1
146,BMPR2
147,PRKACA
148,RB1
149,PRNP
150,BECN1
151,ITGAV
152,KCNQ1
153,SIRT6
154,WNT7A
155,PTCH1
156,CITED2
157,ADORA1
158,CLN3
159,RBPJ
160,INSR
161,TLR2
162,YAP1
163,CCL5
164,HDAC2
165,LIPA
