,SMILES,cell_iname,gene_name,time_h,dose_uM
0,CC(C)c1cc(-c2n[nH]c(=O)n2-c2ccc3c(ccn3C)c2)c(O)cc1O,SNU398,MYC,24,10
1,CC(C)c1cc(-c2n[nH]c(=O)n2-c2ccc3c(ccn3C)c2)c(O)cc1O,JHH5,MYC,24,10
2,CC(C)c1cc(-c2n[nH]c(=O)n2-c2ccc3c(ccn3C)c2)c(O)cc1O,HEPG2,MYC,24,10
3,CC(C)c1cc(-c2n[nH]c(=O)n2-c2ccc3c(ccn3C)c2)c(O)cc1O,SNU398,NOTCH1,24,10
4,CC(C)c1cc(-c2n[nH]c(=O)n2-c2ccc3c(ccn3C)c2)c(O)cc1O,JHH5,NOTCH1,24,10
5,CC(C)c1cc(-c2n[nH]c(=O)n2-c2ccc3c(ccn3C)c2)c(O)cc1O,HEPG2,NOTCH1,24,10
6,CC(C)c1cc(-c2n[nH]c(=O)n2-c2ccc3c(ccn3C)c2)c(O)cc1O,SNU398,TNF,24,10
7,CC(C)c1cc(-c2n[nH]c(=O)n2-c2ccc3c(ccn3C)c2)c(O)cc1O,JHH5,TNF,24,10
8,CC(C)c1cc(-c2n[nH]c(=O)n2-c2ccc3c(ccn3C)c2)c(O)cc1O,HEPG2,TNF,24,10
9,Cc1cc(C)n(-c2ccc(C(C)NC(=O)[C@H]3C[C@@H](NC(=O)c4cncc(-n5cc(Cn6c(-c7ccccc7)cc7ccccc76)nn5)c4)C3)cc2F)n1,SNU398,MYC,24,10
10,Cc1cc(C)n(-c2ccc(C(C)NC(=O)[C@H]3C[C@@H](NC(=O)c4cncc(-n5cc(Cn6c(-c7ccccc7)cc7ccccc76)nn5)c4)C3)cc2F)n1,JHH5,MYC,24,10
11,Cc1cc(C)n(-c2ccc(C(C)NC(=O)[C@H]3C[C@@H](NC(=O)c4cncc(-n5cc(Cn6c(-c7ccccc7)cc7ccccc76)nn5)c4)C3)cc2F)n1,HEPG2,MYC,24,10
12,Cc1cc(C)n(-c2ccc(C(C)NC(=O)[C@H]3C[C@@H](NC(=O)c4cncc(-n5cc(Cn6c(-c7ccccc7)cc7ccccc76)nn5)c4)C3)cc2F)n1,SNU398,NOTCH1,24,10
13,Cc1cc(C)n(-c2ccc(C(C)NC(=O)[C@H]3C[C@@H](NC(=O)c4cncc(-n5cc(Cn6c(-c7ccccc7)cc7ccccc76)nn5)c4)C3)cc2F)n1,JHH5,NOTCH1,24,10
14,Cc1cc(C)n(-c2ccc(C(C)NC(=O)[C@H]3C[C@@H](NC(=O)c4cncc(-n5cc(Cn6c(-c7ccccc7)cc7ccccc76)nn5)c4)C3)cc2F)n1,HEPG2,NOTCH1,24,10
15,Cc1cc(C)n(-c2ccc(C(C)NC(=O)[C@H]3C[C@@H](NC(=O)c4cncc(-n5cc(Cn6c(-c7ccccc7)cc7ccccc76)nn5)c4)C3)cc2F)n1,SNU398,TNF,24,10
16,Cc1cc(C)n(-c2ccc(C(C)NC(=O)[C@H]3C[C@@H](NC(=O)c4cncc(-n5cc(Cn6c(-c7ccccc7)cc7ccccc76)nn5)c4)C3)cc2F)n1,JHH5,TNF,24,10
17,Cc1cc(C)n(-c2ccc(C(C)NC(=O)[C@H]3C[C@@H](NC(=O)c4cncc(-n5cc(Cn6c(-c7ccccc7)cc7ccccc76)nn5)c4)C3)cc2F)n1,HEPG2,TNF,24,10
18,CC(=O)O[C@H]1C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5C[C@@H](O)[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)O[C@H](C)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,SNU398,MYC,24,10
19,CC(=O)O[C@H]1C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5C[C@@H](O)[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)O[C@H](C)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,JHH5,MYC,24,10
20,CC(=O)O[C@H]1C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5C[C@@H](O)[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)O[C@H](C)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,HEPG2,MYC,24,10
21,CC(=O)O[C@H]1C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5C[C@@H](O)[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)O[C@H](C)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,SNU398,NOTCH1,24,10
22,CC(=O)O[C@H]1C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5C[C@@H](O)[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)O[C@H](C)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,JHH5,NOTCH1,24,10
