epoch,train_loss,val_loss,test_loss,val_rmse,val_cor,test_rmse,test_cor
1,1.9926,1.7873,2.0987,1.3369,0.4686,1.4488,0.2606
2,1.6812,1.5871,2.124,1.2598,0.5583,1.4575,0.2825
3,1.4976,1.4259,2.0563,1.1941,0.6142,1.434,0.3106
4,1.3689,1.3279,2.0803,1.1523,0.6493,1.4424,0.3154
5,1.2709,1.248,2.0291,1.1171,0.6736,1.4245,0.3216
6,1.1914,1.1899,2.0661,1.0908,0.6928,1.4374,0.3249
7,1.1254,1.1519,2.0848,1.0732,0.7062,1.4439,0.3304
8,1.0703,1.1095,2.0495,1.0533,0.7175,1.4317,0.3332
9,1.0226,1.0813,2.0824,1.0399,0.727,1.4431,0.3268
10,0.9805,1.0578,2.0698,1.0285,0.734,1.4387,0.3332
11,0.9419,1.0383,2.0735,1.019,0.7394,1.44,0.3338
12,0.9066,1.0231,2.0844,1.0115,0.7446,1.4438,0.3297
13,0.8737,1.0125,2.1106,1.0062,0.7486,1.4528,0.3273
14,0.843,0.9987,2.102,0.9993,0.7516,1.4499,0.3277
15,0.8136,0.9942,2.1172,0.9971,0.7543,1.4551,0.3291
16,0.7866,0.9874,2.1368,0.9937,0.7566,1.4618,0.3243
17,0.7601,0.9802,2.1287,0.9901,0.7585,1.459,0.3279
18,0.7352,0.9765,2.134,0.9882,0.76,1.4609,0.3225
19,0.7108,0.9727,2.1346,0.9863,0.7604,1.4611,0.3205
20,0.6878,0.9696,2.1436,0.9847,0.761,1.4641,0.3146
21,0.6658,0.9726,2.1728,0.9862,0.7614,1.4741,0.317
22,0.6443,0.9784,2.1805,0.9891,0.7617,1.4767,0.3164
23,0.6236,0.9724,2.1839,0.9861,0.7617,1.4778,0.3122
24,0.6037,0.9772,2.1993,0.9886,0.7617,1.4831,0.3134
25,0.5846,0.9758,2.1841,0.9878,0.7617,1.4779,0.3163
