epoch,train_loss,val_loss,test_loss,val_rmse,val_cor,test_rmse,test_cor
1,1.6103,1.329,1.4012,1.1528,0.6093,1.1831,0.568
2,1.2631,1.1239,1.2856,1.0602,0.6861,1.1323,0.6198
3,1.1,1.0085,1.199,1.0044,0.7276,1.0947,0.6557
4,0.9813,0.8865,1.1104,0.9417,0.7573,1.0568,0.6739
5,0.8894,0.8391,1.0605,0.9163,0.7763,1.0314,0.6945
6,0.8204,0.7771,1.0311,0.8818,0.793,1.0175,0.703
7,0.7654,0.7544,1.0194,0.8688,0.8058,1.0113,0.7162
8,0.7209,0.7196,1.0038,0.8487,0.8134,1.0004,0.7176
9,0.6828,0.6891,0.9892,0.8305,0.8207,0.9941,0.7236
10,0.6496,0.6568,0.9593,0.8106,0.8297,0.981,0.731
11,0.6219,0.6526,0.952,0.8081,0.8335,0.9761,0.7347
12,0.5947,0.616,0.9376,0.7851,0.8404,0.9666,0.7392
13,0.5717,0.613,0.9448,0.7833,0.8431,0.9697,0.7382
14,0.551,0.5902,0.9171,0.7686,0.8473,0.9566,0.7434
15,0.5302,0.5919,0.9338,0.7695,0.8496,0.9639,0.7427
16,0.5127,0.5757,0.9209,0.7589,0.8526,0.9585,0.7445
17,0.4958,0.563,0.9172,0.7505,0.8572,0.9585,0.748
18,0.4801,0.5611,0.9236,0.7492,0.858,0.9609,0.7478
19,0.4657,0.5514,0.8971,0.7426,0.8605,0.9454,0.7539
20,0.4506,0.5478,0.9206,0.7403,0.8632,0.956,0.7505
21,0.4392,0.5339,0.9119,0.7308,0.8637,0.951,0.7503
22,0.4262,0.5324,0.8989,0.7298,0.8662,0.9452,0.7552
23,0.4148,0.5215,0.883,0.7221,0.8677,0.9367,0.7579
24,0.4032,0.5198,0.8968,0.721,0.8697,0.9438,0.7567
25,0.3936,0.5151,0.8968,0.7178,0.8706,0.9452,0.7582
26,0.3842,0.5111,0.9127,0.715,0.8704,0.952,0.7513
27,0.3744,0.5104,0.894,0.7144,0.8723,0.9412,0.758
28,0.3665,0.5081,0.8956,0.713,0.8734,0.9416,0.7598
29,0.3577,0.5042,0.8971,0.7101,0.8737,0.9432,0.758
30,0.3498,0.5002,0.8887,0.7073,0.8754,0.94,0.7597
31,0.3428,0.4969,0.8972,0.705,0.8758,0.9435,0.7593
32,0.3354,0.4971,0.8919,0.7052,0.8761,0.9388,0.7592
33,0.3281,0.4864,0.8927,0.6975,0.8767,0.9389,0.7602
34,0.3219,0.4881,0.8865,0.6988,0.8772,0.9356,0.7609
35,0.3161,0.4859,0.8877,0.6971,0.8781,0.9368,0.7609
36,0.31,0.4884,0.8968,0.699,0.8782,0.9417,0.7594
37,0.3038,0.4867,0.9157,0.6977,0.879,0.9526,0.7579
38,0.2985,0.4813,0.908,0.6939,0.8799,0.9479,0.7587
39,0.2937,0.477,0.8911,0.6907,0.8802,0.9399,0.7604
40,0.2883,0.4758,0.8939,0.6898,0.8803,0.9435,0.7605
41,0.2842,0.4812,0.882,0.6938,0.8807,0.935,0.7639
42,0.279,0.4781,0.8898,0.6916,0.8819,0.939,0.7618
43,0.2742,0.4747,0.8978,0.6891,0.8815,0.942,0.7593
44,0.2704,0.4779,0.9093,0.6914,0.8815,0.9492,0.7582
45,0.2661,0.4767,0.9031,0.6906,0.8815,0.9463,0.7595
46,0.2631,0.4759,0.8909,0.69,0.8821,0.9416,0.7595
47,0.2586,0.476,0.9028,0.6901,0.8825,0.9462,0.7603
48,0.255,0.4716,0.8981,0.6869,0.8826,0.9445,0.7601
49,0.2524,0.4762,0.8972,0.6902,0.8832,0.9419,0.7629
50,0.2486,0.4722,0.8879,0.6873,0.8833,0.9388,0.7619
51,0.2453,0.4703,0.8866,0.6859,0.8833,0.9371,0.7635
52,0.2423,0.4699,0.8765,0.6857,0.8837,0.9323,0.7639
53,0.2394,0.4733,0.9045,0.6881,0.8832,0.9488,0.7603
54,0.2364,0.4714,0.9042,0.6867,0.8838,0.9487,0.7603
55,0.2334,0.4707,0.8922,0.6862,0.8839,0.9418,0.7615
56,0.2311,0.468,0.8874,0.6842,0.8839,0.9371,0.762
57,0.2287,0.4713,0.9042,0.6866,0.8841,0.9474,0.7614
58,0.2256,0.4686,0.8954,0.6846,0.8846,0.9421,0.7629
59,0.2231,0.4701,0.8931,0.6858,0.8843,0.9392,0.7622
60,0.2211,0.471,0.901,0.6865,0.884,0.944,0.7617
61,0.2189,0.4677,0.9045,0.6841,0.8842,0.9462,0.7615
62,0.2164,0.4671,0.8965,0.6837,0.8845,0.9439,0.761
63,0.2145,0.4708,0.8912,0.6863,0.8848,0.9402,0.7623
64,0.2123,0.4652,0.8852,0.6822,0.8847,0.9372,0.7641
65,0.2106,0.4652,0.8998,0.6823,0.8847,0.945,0.7612
66,0.2082,0.466,0.8989,0.6829,0.8846,0.9443,0.7623
67,0.2064,0.4669,0.8806,0.6835,0.8848,0.9335,0.7643
68,0.2049,0.4641,0.8942,0.6814,0.8848,0.9431,0.7633
69,0.2029,0.4667,0.8986,0.6834,0.8847,0.9449,0.7616
70,0.2011,0.4624,0.8874,0.6802,0.8852,0.9391,0.7625
71,0.1995,0.4704,0.8874,0.686,0.8846,0.9376,0.7645
72,0.1978,0.4641,0.8823,0.6814,0.8849,0.9351,0.7639
73,0.1962,0.4642,0.8938,0.6815,0.8853,0.9408,0.7627
74,0.1947,0.4602,0.8971,0.6786,0.8854,0.9431,0.7621
75,0.1934,0.4664,0.8904,0.6831,0.8853,0.9395,0.7623
76,0.1917,0.4591,0.8897,0.6778,0.8855,0.9409,0.7619
77,0.19,0.4616,0.8974,0.6797,0.8858,0.9437,0.7608
78,0.1888,0.4687,0.9,0.6848,0.8858,0.9448,0.763
79,0.1875,0.4705,0.8984,0.686,0.8854,0.9438,0.7622
80,0.1861,0.4658,0.9038,0.6827,0.8854,0.9475,0.7607
81,0.185,0.4644,0.8914,0.6818,0.8852,0.9397,0.7631
