epoch,train_loss,val_loss,test_loss,val_AUROC,val_AUPRC,val_f1,val_accuracy,test_AUROC,test_AUPRC,test_f1,test_accuracy
1,0.6339,0.6193,0.5917,0.7528,0.2717,0.3019,0.6458,0.6376,0.1627,0.2083,0.6854
2,0.5888,0.555,0.5543,0.7723,0.2971,0.3323,0.7126,0.6346,0.1641,0.2175,0.7346
3,0.5726,0.5623,0.564,0.7811,0.303,0.3337,0.7022,0.6366,0.1751,0.2202,0.7212
4,0.5622,0.6011,0.6112,0.7883,0.3173,0.3234,0.6619,0.6515,0.1857,0.224,0.6805
5,0.5547,0.6245,0.6375,0.7916,0.3219,0.3201,0.6486,0.6463,0.1819,0.2194,0.6653
6,0.5487,0.4772,0.4906,0.795,0.3295,0.3652,0.7652,0.6469,0.196,0.2367,0.7736
7,0.5436,0.4897,0.5057,0.7976,0.3308,0.3595,0.748,0.6487,0.192,0.2336,0.756
8,0.5391,0.5437,0.5601,0.7995,0.3326,0.3439,0.7023,0.6595,0.1911,0.2303,0.7118
9,0.5345,0.5157,0.5362,0.8007,0.3376,0.3563,0.734,0.6569,0.195,0.2318,0.7347
10,0.5308,0.6071,0.6272,0.7995,0.3366,0.3336,0.6741,0.6626,0.1888,0.2292,0.6766
11,0.5263,0.4905,0.5088,0.8047,0.3452,0.3648,0.7495,0.6623,0.1946,0.2326,0.749
12,0.5219,0.5269,0.5444,0.8055,0.344,0.3545,0.7205,0.6721,0.1962,0.237,0.7208
13,0.5182,0.4907,0.5248,0.8045,0.3405,0.365,0.7502,0.6704,0.1847,0.2365,0.7386
14,0.514,0.5316,0.5534,0.8049,0.344,0.354,0.7199,0.6834,0.1984,0.2478,0.7162
15,0.5101,0.5202,0.536,0.8069,0.346,0.3562,0.7231,0.6729,0.1972,0.2396,0.7221
16,0.506,0.5875,0.6144,0.8033,0.3395,0.3381,0.6813,0.6749,0.1862,0.2384,0.6722
