epoch,train_loss,val_loss,test_loss,val_rmse,val_cor,test_rmse,test_cor
1,0.0781,0.0339,0.0822,0.1842,0.8842,0.2869,0.691
2,0.0305,0.0255,0.0745,0.1597,0.9143,0.2731,0.7201
3,0.0258,0.0241,0.0717,0.1554,0.9168,0.2679,0.7265
4,0.0245,0.0237,0.0704,0.1538,0.9181,0.2654,0.7302
5,0.0237,0.0231,0.0696,0.152,0.9199,0.264,0.7324
6,0.0232,0.0227,0.0676,0.1506,0.9212,0.2601,0.7386
7,0.0227,0.0224,0.0686,0.1498,0.9224,0.262,0.7377
8,0.0223,0.0222,0.0696,0.1488,0.9229,0.2639,0.7328
9,0.0219,0.0218,0.068,0.1478,0.9238,0.2609,0.7375
10,0.0214,0.0216,0.0678,0.147,0.9245,0.2604,0.7383
11,0.0211,0.0216,0.0702,0.1471,0.9253,0.2651,0.7323
12,0.0207,0.0215,0.0688,0.1467,0.9255,0.2623,0.7372
13,0.0203,0.0213,0.0692,0.146,0.9261,0.2632,0.7339
14,0.0199,0.0217,0.0712,0.1472,0.9261,0.2669,0.7304
15,0.0194,0.0214,0.0696,0.1463,0.9264,0.2638,0.7349
16,0.019,0.0212,0.0698,0.1458,0.9263,0.2642,0.7327
17,0.0186,0.021,0.0699,0.145,0.9269,0.2645,0.732
18,0.0181,0.0211,0.0702,0.1452,0.9268,0.265,0.7304
19,0.0176,0.0212,0.0712,0.1455,0.9268,0.267,0.7297
20,0.0171,0.0212,0.0705,0.1457,0.9268,0.2657,0.7317
21,0.0167,0.0213,0.0718,0.146,0.9264,0.2681,0.7272
22,0.0162,0.0214,0.0719,0.1463,0.9262,0.2682,0.7277
