epoch,train_loss,val_loss,test_loss,val_AUROC,val_AUPRC,val_f1,val_accuracy,test_AUROC,test_AUPRC,test_f1,test_accuracy
1,0.5951,0.5718,0.588,0.7641,0.1492,0.1221,0.7672,0.7325,0.1104,0.1093,0.7491
2,0.5688,0.553,0.5757,0.7792,0.1626,0.1327,0.7876,0.7428,0.1194,0.1154,0.7639
3,0.557,0.5047,0.512,0.7857,0.1708,0.1441,0.8114,0.7497,0.1246,0.1312,0.8086
4,0.549,0.5653,0.5649,0.791,0.176,0.1286,0.7645,0.752,0.1311,0.1195,0.7674
5,0.5422,0.57,0.5833,0.7956,0.1818,0.127,0.7556,0.7528,0.1308,0.1139,0.7474
6,0.5359,0.5732,0.5819,0.7968,0.183,0.1273,0.7559,0.7528,0.1308,0.1141,0.7479
7,0.5298,0.5338,0.5392,0.799,0.1844,0.133,0.7715,0.7507,0.1312,0.1192,0.77
8,0.5239,0.5286,0.5336,0.8016,0.1874,0.1354,0.7759,0.7545,0.1325,0.1224,0.7758
9,0.5183,0.5212,0.5215,0.8027,0.1892,0.1377,0.782,0.7543,0.1335,0.1245,0.7842
10,0.5132,0.5529,0.549,0.8039,0.1902,0.1306,0.7598,0.7519,0.1328,0.1177,0.7636
11,0.5078,0.5288,0.5182,0.8032,0.1855,0.1325,0.767,0.7503,0.1309,0.1217,0.7779
12,0.5032,0.5353,0.529,0.8044,0.1896,0.133,0.7668,0.7532,0.1309,0.1216,0.7762
13,0.4982,0.5366,0.5301,0.8046,0.1869,0.1311,0.7609,0.7552,0.1317,0.121,0.7705
